HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2017,34.2
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2018,31.5
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2019,42.7
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2020,39
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,All,35.4
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2016,35.6
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2017,32.5
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2018,34.7
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2019,39.3
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2020,39.5
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,All,36.4
HSA2.5.A,CALGARY Rural - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2016,31
HSA2.5.A,CALGARY Rural - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2017,27.6
HSA2.5.A,CALGARY Rural - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2018,38
HSA2.5.A,CALGARY Rural - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2019,46
HSA2.5.A,CALGARY Rural - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2020,60
HSA2.5.A,CALGARY Rural - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,All,40.9
HSA2.5.BC,CALGARY Rural - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2016,35.6
HSA2.5.BC,CALGARY Rural - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2017,0
HSA2.5.BC,CALGARY Rural - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2018,28.5
HSA2.5.BC,CALGARY Rural - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2019,34.7
HSA2.5.BC,CALGARY Rural - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2020,28
HSA2.5.BC,CALGARY Rural - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,All,29.3
HSA2.6.AB,CALGARY Rural - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2016,28.3
HSA2.6.AB,CALGARY Rural - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2017,49.3
HSA2.6.AB,CALGARY Rural - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2018,28.1
HSA2.6.AB,CALGARY Rural - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2019,41.8
HSA2.6.AB,CALGARY Rural - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2020,48.6
HSA2.6.AB,CALGARY Rural - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,All,39.5
HSA2.6.C,CALGARY Rural - NORTH,Calgary Rural - North,Z2,CALGARY,2016,53.8
HSA2.6.C,CALGARY Rural - NORTH,Calgary Rural - North,Z2,CALGARY,2017,51.5
HSA2.6.C,CALGARY Rural - NORTH,Calgary Rural - North,Z2,CALGARY,2018,40.8
HSA2.6.C,CALGARY Rural - NORTH,Calgary Rural - North,Z2,CALGARY,2019,43.7
HSA2.6.C,CALGARY Rural - NORTH,Calgary Rural - North,Z2,CALGARY,2020,49.8
HSA2.6.C,CALGARY Rural - NORTH,Calgary Rural - North,Z2,CALGARY,All,47.9
HSA2.7.A,CALGARY Rural - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2016,55.1
HSA2.7.A,CALGARY Rural - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2017,46.2
HSA2.7.A,CALGARY Rural - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2018,55.4
HSA2.7.A,CALGARY Rural - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2019,49.8
HSA2.7.A,CALGARY Rural - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2020,64.7
HSA2.7.A,CALGARY Rural - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,All,54.4
HSA2.7.B,CALGARY Rural - WEST,Calgary Rural - West,Z2,CALGARY,2016,0
HSA2.7.B,CALGARY Rural - WEST,Calgary Rural - West,Z2,CALGARY,2017,45.4
HSA2.7.B,CALGARY Rural - WEST,Calgary Rural - West,Z2,CALGARY,2018,34.9
HSA2.7.B,CALGARY Rural - WEST,Calgary Rural - West,Z2,CALGARY,2019,39.6
HSA2.7.B,CALGARY Rural - WEST,Calgary Rural - West,Z2,CALGARY,2020,31.9
HSA2.7.B,CALGARY Rural - WEST,Calgary Rural - West,Z2,CALGARY,All,34.1
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2016,0
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2017,25.4
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2018,25.4
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2019,0
